Sexo,Edad,Estudios,Comunidad,Aportan_vs_Reciben,Quitan_Trabajo,Matrimonio_Hijo,Valoracion_General,Tramo_edad
Hombre,59.0,FP grado inicial,Balears (Illes),N.S.,Más bien de acuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Mujer,50.0,FP de grado superior,Balears (Illes),Más de lo que aportan,Muy en desacuerdo,(NO LEER) Depende,Negativa,Adultos
Hombre,46.0,Estudios de licenciatura,Balears (Illes),N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,89.0,Menos de 5 años de escolarización,Balears (Illes),N.S.,N.S.,N.S.,Positiva,Jubilados
Mujer,41.0,FP de grado superior,Balears (Illes),Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Negativa,Adultos
Hombre,78.0,,Castilla-La Mancha,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Jubilados
Mujer,40.0,Educación secundaria,Castilla-La Mancha,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,70.0,Educación primaria,Castilla-La Mancha,N.S.,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,54.0,FP de grado medio,Castilla-La Mancha,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Mujer,58.0,FP grado inicial,Castilla-La Mancha,Tanto como aportan,Muy de acuerdo,(NO LEER) Depende,Positiva,Adultos Mayores
Hombre,34.0,Educación secundaria,Castilla-La Mancha,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,76.0,,Castilla-La Mancha,N.S.,Muy de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,40.0,Educación secundaria,Castilla-La Mancha,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Muy negativa,Adultos
Mujer,27.0,Educación secundaria,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Jóvenes
Mujer,68.0,Educación primaria,Aragón,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,56.0,FP de grado superior,Aragón,Tanto como aportan,Más bien en desacuerdo,Trataría de evitarla,Positiva,Adultos Mayores
Mujer,46.0,Educación primaria,Aragón,Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,44.0,Educación secundaria,Aragón,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Adultos
Mujer,61.0,FP de grado medio,Aragón,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,61.0,Educación primaria,Aragón,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,47.0,FP de grado superior,Aragón,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,20.0,Educación secundaria,Aragón,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,43.0,Bachillerato,Aragón,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,37.0,Educación secundaria,Cantabria,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos
Hombre,75.0,Educación primaria,Cantabria,N.S.,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,81.0,Menos de 5 años de escolarización,Cantabria,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Jubilados
Hombre,29.0,FP de grado medio,Cantabria,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,55.0,Bachillerato,Cantabria,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,22.0,Estudios de grado,Cantabria,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,51.0,Bachillerato,Cantabria,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,84.0,,Cantabria,Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,76.0,Educación primaria,Comunitat Valenciana,N.S.,Muy de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,51.0,Educación secundaria,Comunitat Valenciana,Tanto como aportan,Muy de acuerdo,Acepta/ría,N.S.,Adultos Mayores
Mujer,39.0,Bachillerato,Comunitat Valenciana,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos
Hombre,60.0,Bachillerato,Comunitat Valenciana,Más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,Negativa,Adultos Mayores
Mujer,55.0,Educación primaria,Comunitat Valenciana,N.S.,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Hombre,48.0,Educación secundaria,Comunitat Valenciana,N.S.,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos
Hombre,38.0,Educación secundaria,Comunitat Valenciana,N.S.,Más bien de acuerdo,Acepta/ría,N.S.,Adultos
Hombre,32.0,Bachillerato,Comunitat Valenciana,N.S.,Muy de acuerdo,(NO LEER) Depende,Negativa,Adultos
Mujer,31.0,Educación secundaria,Comunitat Valenciana,N.S.,Más bien de acuerdo,(NO LEER) Depende,N.S.,Adultos
Mujer,50.0,Educación secundaria,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,79.0,Educación secundaria,Castilla y León,Menos de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Jubilados
Mujer,66.0,Educación secundaria,Castilla y León,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,38.0,Estudios de licenciatura,Castilla y León,Menos de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,27.0,Bachillerato,Castilla y León,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,19.0,FP de grado superior,Galicia,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Hombre,51.0,Educación secundaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,70.0,Educación primaria,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,70.0,Estudios de licenciatura,Galicia,Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Positiva,Jubilados
Mujer,60.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,64.0,Diplomatura,Galicia,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,N.S.,Adultos Mayores
Hombre,44.0,Diplomatura,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos
Hombre,68.0,Estudios de licenciatura,Castilla y León,N.S.,Muy en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,51.0,Estudios de licenciatura,Castilla y León,Mucho más de lo que aportan,Más bien en desacuerdo,(NO LEER) Depende,Negativa,Adultos Mayores
Mujer,60.0,Educación secundaria,Castilla y León,Mucho más de lo que aportan,N.S.,Trataría de evitarla,N.S.,Adultos Mayores
Mujer,46.0,FP de grado superior,Castilla y León,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,44.0,Bachillerato,Castilla y León,Mucho más de lo que aportan,Muy en desacuerdo,Trataría de evitarla,Negativa,Adultos
Hombre,72.0,Diplomatura,Castilla y León,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,59.0,Educación secundaria,Castilla y León,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Hombre,39.0,FP de grado medio,Castilla y León,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,32.0,FP de grado medio,Castilla y León,N.S.,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,18.0,FP de grado medio,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,
Mujer,19.0,Bachillerato,Castilla y León,Mucho más de lo que aportan,Muy en desacuerdo,Trataría de evitarla,Negativa,Jóvenes
Mujer,38.0,Diplomatura,Castilla y León,Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,71.0,Educación secundaria,Castilla y León,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Mujer,24.0,Estudios de grado,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Hombre,52.0,FP de grado superior,Castilla y León,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,57.0,FP de grado medio,Asturias (Principado de),Tanto como aportan,Más bien de acuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Hombre,42.0,FP de grado superior,Asturias (Principado de),Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,79.0,Educación primaria,Asturias (Principado de),Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Muy negativa,Jubilados
Hombre,73.0,FP de grado superior,Asturias (Principado de),Tanto como aportan,Más bien en desacuerdo,Acepta/ría,N.S.,Jubilados
Mujer,33.0,Bachillerato,Asturias (Principado de),Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Adultos
Hombre,32.0,Educación secundaria,Asturias (Principado de),Tanto como aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,50.0,Bachillerato,Asturias (Principado de),Más de lo que aportan,Más bien de acuerdo,Rechazaría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,55.0,FP de grado superior,Asturias (Principado de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,40.0,FP de grado superior,Asturias (Principado de),Tanto como aportan,Más bien de acuerdo,(NO LEER) Depende,Muy positiva,Adultos
Hombre,70.0,Educación primaria,Castilla-La Mancha,N.S.,Muy de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,34.0,Estudios de grado,Castilla-La Mancha,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Muy negativa,Adultos
Hombre,39.0,Bachillerato,Castilla-La Mancha,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,81.0,Educación primaria,Castilla-La Mancha,Tanto como aportan,Más bien de acuerdo,Rechazaría,Negativa,Jubilados
Hombre,60.0,,Castilla-La Mancha,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Hombre,22.0,Educación secundaria,Castilla-La Mancha,Tanto como aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jóvenes
Mujer,51.0,Educación secundaria,Castilla-La Mancha,Menos de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Mujer,60.0,Educación primaria,Castilla-La Mancha,N.S.,Muy de acuerdo,N.S.,N.S.,Adultos Mayores
Mujer,25.0,Educación primaria,Castilla-La Mancha,Menos de lo que aportan,Muy de acuerdo,N.S.,Negativa,Jóvenes
Hombre,27.0,Educación primaria,Castilla-La Mancha,Mucho menos de lo que aportan,Muy de acuerdo,N.S.,Negativa,Jóvenes
Hombre,38.0,FP de grado superior,Castilla-La Mancha,Menos de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,65.0,Menos de 5 años de escolarización,Castilla-La Mancha,N.S.,N.S.,N.S.,Positiva,Adultos Mayores
Mujer,69.0,Educación primaria,Castilla-La Mancha,Mucho menos de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Jubilados
Hombre,37.0,Diplomatura,Cataluña,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,55.0,FP de grado medio,Cataluña,Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Mujer,37.0,Estudios de licenciatura,Cataluña,N.S.,N.C.,Acepta/ría,Positiva,Adultos
Mujer,31.0,Diplomatura,Cataluña,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,52.0,Educación secundaria,Cataluña,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,76.0,,Cataluña,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,N.S.,Jubilados
Hombre,19.0,Bachillerato,Cataluña,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Hombre,62.0,Educación secundaria,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,Negativa,Adultos Mayores
Mujer,53.0,Educación secundaria,País Vasco,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,36.0,Estudios de licenciatura,País Vasco,N.S.,Más bien en desacuerdo,Acepta/ría,Negativa,Adultos
Hombre,19.0,Bachillerato,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,70.0,Educación primaria,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,81.0,Educación primaria,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,24.0,Estudios de grado,País Vasco,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,56.0,Estudios de licenciatura,País Vasco,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,57.0,Diplomatura,País Vasco,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,65.0,Educación secundaria,Murcia (Región de),Mucho más de lo que aportan,Más bien de acuerdo,N.S.,N.S.,Adultos Mayores
Hombre,76.0,Educación primaria,Murcia (Región de),Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,30.0,Educación secundaria,Murcia (Región de),Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,N.S.,Jóvenes
Mujer,38.0,FP de grado medio,Murcia (Región de),Más de lo que aportan,Muy de acuerdo,Rechazaría,N.S.,Adultos
Mujer,28.0,Diplomatura,Murcia (Región de),Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,45.0,Bachillerato,Murcia (Región de),Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,N.S.,Adultos
Mujer,86.0,,Murcia (Región de),Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,N.S.,Jubilados
Mujer,33.0,Educación secundaria,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,Muy negativa,Adultos
Mujer,45.0,Diplomatura,Comunitat Valenciana,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,45.0,Estudios de licenciatura,Comunitat Valenciana,Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,41.0,FP de grado superior,Comunitat Valenciana,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,40.0,FP de grado superior,Comunitat Valenciana,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,37.0,FP de grado superior,Comunitat Valenciana,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,64.0,Menos de 5 años de escolarización,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,Negativa,Adultos Mayores
Mujer,84.0,,Comunitat Valenciana,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jubilados
Mujer,38.0,Educación secundaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,38.0,FP de grado medio,Andalucía,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,18.0,Bachillerato,Andalucía,Tanto como aportan,Muy de acuerdo,Trataría de evitarla,Positiva,
Hombre,78.0,,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,28.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jóvenes
Hombre,48.0,Menos de 5 años de escolarización,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,25.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,49.0,,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,61.0,,Andalucía,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,77.0,,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,56.0,FP grado inicial,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,21.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,41.0,Menos de 5 años de escolarización,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,46.0,Educación secundaria,Extremadura,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,82.0,Educación primaria,Extremadura,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,37.0,FP de grado superior,Extremadura,Más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,65.0,Educación primaria,Extremadura,Tanto como aportan,Muy de acuerdo,Rechazaría,Positiva,Adultos Mayores
Hombre,44.0,Educación secundaria,Extremadura,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,64.0,Educación primaria,Extremadura,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,85.0,,Extremadura,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Jubilados
Mujer,22.0,FP de grado superior,Extremadura,Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,18.0,Educación secundaria,Extremadura,Menos de lo que aportan,N.S.,Acepta/ría,(NO LEER) Ni positiva ni negativa,
Mujer,54.0,Bachillerato,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,44.0,Estudios de licenciatura,Galicia,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,71.0,Educación secundaria,Galicia,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,44.0,Bachillerato,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,47.0,Diplomatura,Galicia,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,26.0,Estudios de licenciatura,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,55.0,Educación primaria,Galicia,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Hombre,32.0,Diplomatura,Galicia,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,41.0,Educación secundaria,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,73.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,66.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Jubilados
Mujer,37.0,Estudios de licenciatura,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,59.0,Educación primaria,Galicia,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,72.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,28.0,Diplomatura,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,49.0,Educación secundaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Adultos
Hombre,74.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Rechazaría,Positiva,Jubilados
Mujer,35.0,Estudios de licenciatura,Murcia (Región de),Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,64.0,Educación secundaria,Murcia (Región de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,72.0,,Murcia (Región de),Más de lo que aportan,Más bien de acuerdo,N.S.,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,43.0,Educación secundaria,Murcia (Región de),Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,Muy negativa,Adultos
Hombre,51.0,Educación secundaria,Murcia (Región de),Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Muy negativa,Adultos Mayores
Mujer,26.0,FP de grado medio,Murcia (Región de),Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,62.0,Educación primaria,Murcia (Región de),Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Negativa,Adultos Mayores
Hombre,29.0,FP de grado medio,Murcia (Región de),Más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,Negativa,Jóvenes
Mujer,46.0,FP de grado medio,Murcia (Región de),Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,38.0,FP de grado medio,Murcia (Región de),Mucho más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Negativa,Adultos
Mujer,40.0,Bachillerato,Galicia,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,47.0,FP de grado superior,Galicia,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos
Mujer,56.0,FP de grado superior,Galicia,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,21.0,Bachillerato,Galicia,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,73.0,Menos de 5 años de escolarización,Galicia,N.S.,N.S.,Acepta/ría,Positiva,Jubilados
Mujer,31.0,Máster oficial universitario,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,70.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,24.0,FP de grado superior,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,58.0,Educación secundaria,Galicia,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,65.0,Diplomatura,Galicia,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,36.0,FP de grado superior,Galicia,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,54.0,FP de grado medio,Galicia,Más de lo que aportan,N.S.,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,24.0,FP de grado superior,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,42.0,Diplomatura,Galicia,N.C.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,78.0,Educación secundaria,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jubilados
Mujer,82.0,Educación primaria,Madrid (Comunidad de),N.S.,Más bien de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,33.0,FP de grado superior,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,56.0,Estudios de licenciatura,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,80.0,Doctorado,Madrid (Comunidad de),Tanto como aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,53.0,Bachillerato,Asturias (Principado de),Más de lo que aportan,N.S.,(NO LEER) Depende,Positiva,Adultos Mayores
Mujer,58.0,Educación secundaria,Asturias (Principado de),Tanto como aportan,Muy de acuerdo,N.S.,Muy negativa,Adultos Mayores
Mujer,68.0,Educación secundaria,Asturias (Principado de),Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,N.S.,Jubilados
Mujer,68.0,Educación primaria,Asturias (Principado de),Mucho más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Positiva,Jubilados
Hombre,30.0,Educación secundaria,Asturias (Principado de),Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Hombre,26.0,Educación secundaria,Asturias (Principado de),Mucho más de lo que aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Mujer,44.0,Arquitectura o ingeniería superiores,Galicia,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,45.0,FP de grado superior,Galicia,Más de lo que aportan,Más bien de acuerdo,Rechazaría,Negativa,Adultos
Mujer,29.0,Diplomatura,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,66.0,FP de grado medio,Galicia,Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,64.0,Educación primaria,Galicia,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,72.0,Educación primaria,Galicia,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Jubilados
Mujer,59.0,Diplomatura,Galicia,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,59.0,Educación secundaria,Navarra (Comunidad Foral de),Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,49.0,Estudios de licenciatura,Navarra (Comunidad Foral de),Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,70.0,Educación secundaria,Navarra (Comunidad Foral de),Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,24.0,Educación secundaria,Navarra (Comunidad Foral de),Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,52.0,Educación secundaria,Navarra (Comunidad Foral de),Mucho más de lo que aportan,Muy de acuerdo,N.S.,Negativa,Adultos Mayores
Mujer,29.0,Estudios de licenciatura,Navarra (Comunidad Foral de),N.S.,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,36.0,Educación secundaria,Navarra (Comunidad Foral de),Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
